# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(p_rgh)
0.0074367       	2.19793093e+05
0.00743726      	2.19861922e+05
0.00743781      	2.19926171e+05
0.00743837      	2.19996073e+05
0.00743892      	2.20065461e+05
0.00743947      	2.20134672e+05
0.00744003      	2.20203916e+05
0.00744058      	2.20268570e+05
0.00744113      	2.20338888e+05
0.00744168      	2.20408756e+05
0.00744223      	2.20478422e+05
0.00744278      	2.20543377e+05
0.00744333      	2.20614047e+05
0.00744388      	2.20684149e+05
0.00744443      	2.20754025e+05
0.00744498      	2.20823885e+05
0.00744553      	2.20889022e+05
0.00744608      	2.20959887e+05
0.00744662      	2.21030240e+05
0.00744717      	2.21100336e+05
0.00744772      	2.21170330e+05
0.00744827      	2.21240354e+05
0.00744881      	2.21305602e+05
0.00744936      	2.21376643e+05
0.00744991      	2.21447139e+05
0.00745045      	2.21517345e+05
0.007451        	2.21587410e+05
0.00745154      	2.21657470e+05
0.00745209      	2.21727486e+05
0.00745263      	2.21797484e+05
0.00745318      	2.21867529e+05
0.00745373      	2.21937550e+05
0.00745427      	2.22007550e+05
0.00745482      	2.22077587e+05
0.00745536      	2.22147583e+05
0.00745591      	2.22217541e+05
0.00745645      	2.22287512e+05
0.007457        	2.22357424e+05
0.00745755      	2.22427274e+05
0.00745809      	2.22497118e+05
0.00745864      	2.22566880e+05
0.00745918      	2.22636564e+05
0.00745973      	2.22706221e+05
0.00746028      	2.22775777e+05
0.00746082      	2.22845233e+05
0.00746137      	2.22914644e+05
0.00746191      	2.22983930e+05
0.00746246      	2.23053098e+05
0.007463        	2.23122195e+05
0.00746355      	2.23191146e+05
0.0074641       	2.23259955e+05
0.00746464      	2.23328679e+05
0.00746519      	2.23397233e+05
0.00746573      	2.23465622e+05
0.00746628      	2.23533901e+05
0.00746683      	2.23601991e+05
0.00746737      	2.23669893e+05
0.00746792      	2.23737662e+05
0.00746846      	2.23805220e+05
0.00746901      	2.23872568e+05
0.00746955      	2.23939761e+05
0.0074701       	2.24006722e+05
0.00747065      	2.24073446e+05
0.00747119      	2.24139999e+05
0.00747174      	2.24206292e+05
0.00747228      	2.24272331e+05
0.00747283      	2.24338171e+05
0.00747337      	2.24403731e+05
0.00747392      	2.24469014e+05
0.00747447      	2.24534078e+05
0.00747501      	2.24598839e+05
0.00747556      	2.24663301e+05
0.0074761       	2.24727518e+05
0.00747665      	2.24791412e+05
0.0074772       	2.24854983e+05
0.00747774      	2.24918292e+05
0.00747829      	2.24981251e+05
0.00747883      	2.25043869e+05
0.00747938      	2.25106198e+05
0.00747992      	2.25168159e+05
0.00748047      	2.25229755e+05
0.00748102      	2.25291043e+05
0.00748156      	2.25351940e+05
0.0074821       	2.25406685e+05
0.00748265      	2.25468197e+05
0.00748319      	2.25528494e+05
0.00748373      	2.25587998e+05
0.00748428      	2.25646950e+05
0.00748482      	2.25705380e+05
0.00748536      	2.25763330e+05
0.00748591      	2.25820885e+05
0.00748645      	2.25877978e+05
0.00748699      	2.25934624e+05
0.00748754      	2.25984887e+05
0.00748808      	2.26042102e+05
0.00748862      	2.26098005e+05
0.00748916      	2.26153101e+05
0.0074897       	2.26207502e+05
0.00749024      	2.26261320e+05
0.00749078      	2.26314662e+05
0.00749132      	2.26367478e+05
0.00749186      	2.26419788e+05
0.0074924       	2.26471658e+05
0.00749294      	2.26523005e+05
0.00749348      	2.26573842e+05
0.00749402      	2.26617938e+05
0.00749456      	2.26669322e+05
0.0074951       	2.26719242e+05
0.00749563      	2.26768285e+05
0.00749617      	2.26816567e+05
0.00749671      	2.26864199e+05
0.00749725      	2.26911295e+05
0.00749779      	2.26957804e+05
0.00749832      	2.27003748e+05
0.00749886      	2.27049192e+05
0.0074994       	2.27094063e+05
0.00749994      	2.27138362e+05
0.00750048      	2.27182155e+05
0.00750101      	2.27225357e+05
0.00750155      	2.27267981e+05
0.00750209      	2.27310080e+05
0.00750263      	2.27351576e+05
0.00750317      	2.27392477e+05
0.0075037       	2.27432843e+05
0.00750424      	2.27472594e+05
0.00750478      	2.27511739e+05
0.00750532      	2.27550338e+05
0.00750586      	2.27588311e+05
0.00750639      	2.27625667e+05
0.00750693      	2.27662468e+05
0.00750747      	2.27705723e+05
0.00750801      	2.27739414e+05
0.00750856      	2.27773575e+05
0.0075091       	2.27807574e+05
0.00750964      	2.27841185e+05
0.00751018      	2.27874347e+05
0.00751072      	2.27906914e+05
0.00751126      	2.27938861e+05
0.0075118       	2.27970232e+05
0.00751234      	2.28000941e+05
0.00751288      	2.28030994e+05
0.00751343      	2.28060451e+05
0.00751397      	2.28089236e+05
0.00751451      	2.28117359e+05
0.00751505      	2.28144881e+05
0.00751559      	2.28171723e+05
0.00751613      	2.28205719e+05
0.00751668      	2.28229170e+05
0.00751722      	2.28253099e+05
0.00751777      	2.28276895e+05
0.00751831      	2.28300366e+05
0.00751886      	2.28323287e+05
0.0075194       	2.28345600e+05
0.00751995      	2.28367329e+05
0.00752049      	2.28388382e+05
0.00752104      	2.28408758e+05
0.00752158      	2.28428521e+05
0.00752212      	2.28447583e+05
0.00752267      	2.28465968e+05
0.00752321      	2.28483738e+05
0.00752376      	2.28500810e+05
0.0075243       	2.28517207e+05
0.00752485      	2.28532989e+05
0.00752539      	2.28548082e+05
0.00752594      	2.28562494e+05
0.00752648      	2.28576298e+05
0.00752703      	2.28589415e+05
0.00752757      	2.28601859e+05
0.00752811      	2.28613700e+05
0.00752866      	2.28624859e+05
0.0075292       	2.28635350e+05
0.00752975      	2.28645235e+05
0.00753029      	2.28654442e+05
0.00753084      	2.28662988e+05
0.00753138      	2.28670937e+05
0.00753193      	2.28678217e+05
0.00753247      	2.28684835e+05
0.00753302      	2.28690865e+05
0.00753356      	2.28696225e+05
0.00753411      	2.28700940e+05
0.00753465      	2.28705074e+05
0.00753519      	2.28708547e+05
0.00753574      	2.28711374e+05
0.00753628      	2.28713630e+05
0.00753683      	2.28715235e+05
0.00753737      	2.28716203e+05
0.00753792      	2.28716611e+05
0.00753846      	2.28716378e+05
0.00753901      	2.28715519e+05
0.00753955      	2.28714107e+05
0.0075401       	2.28712059e+05
0.00754064      	2.28709521e+05
0.00754118      	2.28706210e+05
0.00754173      	2.28702388e+05
0.00754227      	2.28697966e+05
0.00754282      	2.28692891e+05
0.00754336      	2.28687437e+05
0.00754391      	2.28681412e+05
0.00754445      	2.28674627e+05
0.007545        	2.28667359e+05
0.00754554      	2.28659391e+05
0.00754609      	2.28651160e+05
0.00754664      	2.28654447e+05
0.00754719      	2.28641210e+05
0.00754774      	2.28629341e+05
0.00754829      	2.28617752e+05
0.00754884      	2.28606047e+05
0.00754939      	2.28594087e+05
0.00754994      	2.28581671e+05
0.00755049      	2.28568753e+05
0.00755104      	2.28555388e+05
0.00755159      	2.28541482e+05
0.00755214      	2.28527045e+05
0.00755269      	2.28512150e+05
0.00755324      	2.28496717e+05
0.00755379      	2.28480779e+05
0.00755434      	2.28464391e+05
0.00755489      	2.28447486e+05
0.00755544      	2.28430088e+05
0.007556        	2.28427154e+05
0.00755655      	2.28404123e+05
0.00755711      	2.28382907e+05
0.00755767      	2.28362338e+05
