# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
9.37206e-05     	-3.95139887e-04
9.41043e-05     	-3.95139887e-04
9.44879e-05     	-3.95139887e-04
9.48716e-05     	-3.95139887e-04
9.52539e-05     	-3.95139887e-04
9.56362e-05     	-3.95139887e-04
9.60185e-05     	-3.95139887e-04
9.64008e-05     	-3.95139887e-04
9.6783e-05      	-3.95139887e-04
9.71667e-05     	-3.95139887e-04
9.75505e-05     	-3.95139887e-04
9.79342e-05     	-3.95139887e-04
9.83193e-05     	-3.95139887e-04
9.87045e-05     	-3.95139887e-04
9.90911e-05     	-3.95139887e-04
9.94792e-05     	-3.95139887e-04
9.98688e-05     	-3.95139887e-04
0.00010026      	-3.95139887e-04
0.000100653     	-3.95139887e-04
0.000101047     	-3.95139887e-04
0.000101443     	-3.95139887e-04
0.00010184      	-3.95139887e-04
0.000102241     	-3.95139887e-04
0.000102643     	-3.95139887e-04
0.000103049     	-3.95139887e-04
0.000103458     	-3.95139887e-04
0.000103869     	-3.95139887e-04
0.000104283     	-3.95139887e-04
0.000104701     	-3.95139887e-04
0.000105123     	-3.95139887e-04
0.000105548     	-3.95139887e-04
0.000105977     	-3.95139887e-04
0.000106411     	-3.95139887e-04
0.000106846     	-3.95139887e-04
0.000107285     	-3.95139887e-04
0.000107731     	-3.95139887e-04
0.000108181     	-3.95139887e-04
0.000108631     	-3.95139887e-04
0.000109077     	-3.95139887e-04
0.000109518     	-3.95139887e-04
0.000109955     	-3.95139887e-04
0.00011039      	-3.95139887e-04
0.000110821     	-3.95139887e-04
0.00011125      	-3.95139887e-04
0.000111675     	-3.95139887e-04
0.000112097     	-3.95139887e-04
0.000112518     	-3.95139887e-04
0.000112936     	-3.95139887e-04
0.000113353     	-3.95139887e-04
0.000113768     	-3.95139887e-04
0.00011418      	-3.95139887e-04
0.000114591     	-3.95139887e-04
0.000115001     	-3.95139887e-04
