# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000392062     	-1.07002487e-04
0.000393196     	-1.07002487e-04
0.00039433      	-1.07002487e-04
0.000395464     	-1.07002487e-04
0.000396598     	-1.07002487e-04
0.000397732     	-1.07002487e-04
0.000398866     	-1.07002487e-04
0.0004          	-1.07002487e-04
0.000401212     	-1.07002487e-04
0.000402439     	-1.07002487e-04
0.000403682     	-1.07002487e-04
0.000404948     	-1.07002487e-04
0.00040624      	-1.07002487e-04
0.000407567     	-1.07002487e-04
0.000408932     	-1.07002487e-04
0.000410277     	-1.07002487e-04
0.000411604     	-1.07002487e-04
0.000412913     	-1.07002487e-04
0.000414203     	-1.07002487e-04
0.000415484     	-1.07002487e-04
0.000416748     	-1.07002487e-04
0.000418003     	-1.07002487e-04
0.000419258     	-1.07002487e-04
0.000420505     	-1.07002487e-04
0.000421751     	-1.07002487e-04
0.000422998     	-1.07002487e-04
0.000424253     	-1.07002487e-04
0.000425517     	-1.07002487e-04
0.000426791     	-1.07002487e-04
0.000428074     	-1.07002487e-04
0.000429377     	-1.07002487e-04
0.000430689     	-1.07002487e-04
0.000432022     	-1.07002487e-04
0.000433388     	-1.07002487e-04
0.000434788     	-1.07002487e-04
0.000436212     	-1.07002487e-04
0.000437649     	-1.07002487e-04
0.000439073     	-1.07002487e-04
0.000440472     	-1.07002487e-04
0.000441848     	-1.07002487e-04
0.000443211     	-1.07002487e-04
0.000444551     	-1.07002487e-04
0.000445891     	-1.07002487e-04
0.00044722      	-1.07002487e-04
0.000448548     	-1.07002487e-04
0.000449877     	-1.07002487e-04
0.000451205     	-1.07002487e-04
0.000452546     	-1.07002487e-04
0.000453899     	-1.07002487e-04
0.000455264     	-1.07002487e-04
0.000456642     	-1.07002487e-04
0.000458048     	-1.07002487e-04
0.000459467     	-1.07002487e-04
0.000460916     	-1.07002487e-04
0.000462412     	-1.07002487e-04
0.000463941     	-1.07002487e-04
0.000465436     	-1.07002487e-04
0.000466914     	-1.07002487e-04
0.000468377     	-1.07002487e-04
0.000469823     	-1.07002487e-04
0.000471254     	-1.07002487e-04
0.000472669     	-1.07002487e-04
0.000474083     	-1.07002487e-04
0.000475482     	-1.07002487e-04
0.000476882     	-1.07002487e-04
0.000478281     	-1.07002487e-04
0.000479696     	-1.07002487e-04
0.000481128     	-1.07002487e-04
0.000482578     	-1.07002487e-04
0.000484046     	-1.07002487e-04
0.000485532     	-1.07002487e-04
0.000487038     	-1.07002487e-04
0.000488586     	-1.07002487e-04
0.000490155     	-1.07002487e-04
0.000491747     	-1.07002487e-04
0.000493316     	-1.07002487e-04
0.00049484      	-1.07002487e-04
0.000496342     	-1.07002487e-04
0.000497823     	-1.07002487e-04
0.000499304     	-1.07002487e-04
0.000500763     	-1.07002487e-04
0.000502223     	-1.07002487e-04
0.000503682     	-1.07002487e-04
0.000505141     	-1.07002487e-04
0.000506623     	-1.07002487e-04
0.000508106     	-1.07002487e-04
0.000509612     	-1.07002487e-04
0.000511144     	-1.07002487e-04
0.000512703     	-1.07002487e-04
0.00051429      	-1.07002487e-04
0.000515907     	-1.07002487e-04
0.000517556     	-1.07002487e-04
0.000519173     	-1.07002487e-04
0.000520758     	-1.07002487e-04
0.000522311     	-1.07002487e-04
0.000523835     	-1.07002487e-04
0.000525358     	-1.07002487e-04
0.000526881     	-1.07002487e-04
0.000528374     	-1.07002487e-04
0.000529866     	-1.07002487e-04
0.000531358     	-1.07002487e-04
0.00053285      	-1.07002487e-04
0.000534376     	-1.07002487e-04
0.000535902     	-1.07002487e-04
0.000537466     	-1.07002487e-04
0.000539069     	-1.07002487e-04
0.000540716     	-1.07002487e-04
0.00054241      	-1.07002487e-04
0.000544055     	-1.07002487e-04
0.000545654     	-1.07002487e-04
0.000547206     	-1.07002487e-04
0.000548759     	-1.07002487e-04
0.000550266     	-1.07002487e-04
0.000551773     	-1.07002487e-04
0.000553235     	-1.07002487e-04
0.000554696     	-1.07002487e-04
0.000556158     	-1.07002487e-04
0.000557619     	-1.07002487e-04
0.00055908      	-1.07002487e-04
0.000560542     	-1.07002487e-04
0.000562003     	-1.07002487e-04
0.000563523     	-1.07002487e-04
0.000565043     	-1.07002487e-04
0.000566632     	-1.07002487e-04
0.000568221     	-1.07002487e-04
0.000569893     	-1.07002488e-04
0.000571566     	-1.07002488e-04
0.000573146     	-1.07002488e-04
0.000574725     	-1.07002488e-04
0.000576305     	-1.07002488e-04
0.000577786     	-1.07002487e-04
0.000579267     	-1.07002488e-04
0.000580748     	-1.07002488e-04
0.000582229     	-1.07002488e-04
0.00058371      	-1.07002488e-04
0.000585191     	-1.07002488e-04
0.000586672     	-1.07002488e-04
0.000588153     	-1.07002488e-04
0.000589633     	-1.07002488e-04
0.000591114     	-1.07002488e-04
0.000592595     	-1.07002488e-04
0.000594076     	-1.07002488e-04
0.000595557     	-1.07002488e-04
0.000597038     	-1.07002488e-04
0.000598519     	-1.07002488e-04
0.0006          	-1.07002488e-04
0.000601653     	-1.07002488e-04
0.000603306     	-1.07002488e-04
0.000604931     	-1.07002488e-04
0.00060653      	-1.07002488e-04
0.000608103     	-1.07002488e-04
0.000609663     	-1.07002488e-04
0.000611223     	-1.07002488e-04
0.000612771     	-1.07002488e-04
0.000614318     	-1.07002488e-04
0.000615879     	-1.07002488e-04
0.000617439     	-1.07002488e-04
0.000619013     	-1.07002488e-04
0.0006206       	-1.07002488e-04
0.000622202     	-1.07002488e-04
0.000623833     	-1.07002488e-04
0.000625495     	-1.07002488e-04
0.000627206     	-1.07002488e-04
0.000628951     	-1.07002488e-04
0.000630645     	-1.07002488e-04
0.000632305     	-1.07002488e-04
0.000633949     	-1.07002488e-04
0.000635562     	-1.07002488e-04
0.000637158     	-1.07002488e-04
0.000638755     	-1.07002488e-04
0.000640335     	-1.07002488e-04
0.000641916     	-1.07002488e-04
0.000643497     	-1.07002488e-04
0.000645094     	-1.07002488e-04
0.000646691     	-1.07002488e-04
0.000648305     	-1.07002488e-04
0.000649936     	-1.07002488e-04
0.000651603     	-1.07002488e-04
0.000653309     	-1.07002488e-04
0.000655055     	-1.07002488e-04
0.000656823     	-1.07002488e-04
0.000658527     	-1.07002488e-04
0.000660212     	-1.07002488e-04
0.000661856     	-1.07002488e-04
0.000663481     	-1.07002488e-04
0.000665087     	-1.07002488e-04
0.000666675     	-1.07002488e-04
0.000668243     	-1.07002488e-04
0.000669812     	-1.07002488e-04
0.00067138      	-1.07002488e-04
0.000672949     	-1.07002488e-04
0.000674537     	-1.07002488e-04
0.000676125     	-1.07002488e-04
0.000677755     	-1.07002488e-04
0.000679407     	-1.07002488e-04
0.000681105     	-1.07002488e-04
0.000682829     	-1.07002488e-04
0.000684604     	-1.07002488e-04
0.000686326     	-1.07002488e-04
0.000687998     	-1.07002488e-04
0.000689645     	-1.07002488e-04
0.000691268     	-1.07002488e-04
0.000692867     	-1.07002488e-04
0.000694442     	-1.07002488e-04
0.000695995     	-1.07002488e-04
0.000697547     	-1.07002488e-04
0.000699076     	-1.07002488e-04
0.000700605     	-1.07002488e-04
0.000702158     	-1.07002488e-04
0.000703711     	-1.07002488e-04
0.000705264     	-1.07002488e-04
0.000706843     	-1.07002488e-04
0.000708449     	-1.07002488e-04
0.000710084     	-1.07002488e-04
0.000711749     	-1.07002488e-04
0.000713447     	-1.07002488e-04
0.000715178     	-1.07002488e-04
0.000716909     	-1.07002488e-04
0.000718604     	-1.07002488e-04
0.000720266     	-1.07002488e-04
0.000721893     	-1.07002488e-04
0.000723487     	-1.07002488e-04
0.000725081     	-1.07002488e-04
0.000726642     	-1.07002488e-04
0.000728202     	-1.07002488e-04
0.000729763     	-1.07002488e-04
0.000731324     	-1.07002488e-04
0.000732885     	-1.07002488e-04
0.000734446     	-1.07002488e-04
0.000736045     	-1.07002488e-04
0.000737644     	-1.07002488e-04
0.000739284     	-1.07002488e-04
0.000740925     	-1.07002488e-04
0.000742613     	-1.07002488e-04
0.000744301     	-1.07002488e-04
0.000746042     	-1.07002488e-04
0.00074784      	-1.07002488e-04
0.000749639     	-1.07002488e-04
0.000751438     	-1.07002488e-04
0.000753172     	-1.07002488e-04
0.000754906     	-1.07002488e-04
0.000756641     	-1.07002488e-04
0.000758375     	-1.07002488e-04
0.000760109     	-1.07002488e-04
0.000761844     	-1.07002488e-04
0.000763578     	-1.07002488e-04
0.000765313     	-1.07002488e-04
0.000767047     	-1.07002488e-04
0.000768781     	-1.07002488e-04
0.000770516     	-1.07002488e-04
0.000772358     	-1.07002488e-04
0.000774201     	-1.07002488e-04
0.000776044     	-1.07002488e-04
0.000777887     	-1.07002488e-04
0.000779897     	-1.07002488e-04
0.000781907     	-1.07002488e-04
0.000783918     	-1.07002488e-04
0.000785928     	-1.07002488e-04
0.000787938     	-1.07002488e-04
0.000789949     	-1.07002488e-04
0.000791959     	-1.07002488e-04
0.000793969     	-1.07002488e-04
0.000795979     	-1.07002488e-04
0.00079799      	-1.07002488e-04
0.0008          	-1.07002488e-04
0.000802        	-1.07002488e-04
0.000804        	-1.07002488e-04
0.000806        	-1.07002488e-04
0.000808        	-1.07002488e-04
0.00081         	-1.07002488e-04
0.000812        	-1.07002488e-04
0.000814        	-1.07002488e-04
0.000816        	-1.07002488e-04
0.000818        	-1.07002488e-04
0.00082         	-1.07002488e-04
0.000822        	-1.07002488e-04
0.000824        	-1.07002488e-04
0.000826        	-1.07002488e-04
0.000828        	-1.07002488e-04
0.00083         	-1.07002488e-04
0.000832        	-1.07002488e-04
0.000834        	-1.07002488e-04
0.000836        	-1.07002488e-04
0.000838        	-1.07002488e-04
0.00084         	-1.07002488e-04
0.000842        	-1.07002488e-04
0.000844        	-1.07002488e-04
0.000846        	-1.07002488e-04
0.000848        	-1.07002488e-04
0.00085         	-1.07002488e-04
0.000852        	-1.07002488e-04
0.000854        	-1.07002488e-04
0.000856        	-1.07002488e-04
0.000858        	-1.07002488e-04
0.00086         	-1.07002488e-04
0.000862        	-1.07002488e-04
0.000864        	-1.07002488e-04
0.000866        	-1.07002488e-04
0.000868        	-1.07002488e-04
0.00087         	-1.07002488e-04
0.000872        	-1.07002488e-04
0.000874        	-1.07002488e-04
0.000876        	-1.07002488e-04
0.000878        	-1.07002488e-04
0.00088         	-1.07002488e-04
0.000882        	-1.07002488e-04
0.000884        	-1.07002488e-04
0.000886        	-1.07002488e-04
0.000888        	-1.07002488e-04
0.00089         	-1.07002488e-04
0.000892        	-1.07002488e-04
0.000894        	-1.07002488e-04
0.000896        	-1.07002488e-04
0.000898        	-1.07002488e-04
0.0009          	-1.07002488e-04
0.000902        	-1.07002488e-04
0.000904        	-1.07002488e-04
0.000906        	-1.07002488e-04
0.000908        	-1.07002488e-04
0.00091         	-1.07002488e-04
0.000911957     	-1.07002488e-04
0.000913913     	-1.07002488e-04
0.00091587      	-1.07002488e-04
0.000917826     	-1.07002488e-04
0.000919783     	-1.07002488e-04
0.000921788     	-1.07002488e-04
0.000923793     	-1.07002488e-04
0.000925799     	-1.07002488e-04
0.000927804     	-1.07002488e-04
0.00092981      	-1.07002488e-04
0.000931815     	-1.07002488e-04
0.000933821     	-1.07002488e-04
0.000935826     	-1.07002488e-04
0.000937832     	-1.07002488e-04
0.000939774     	-1.07002488e-04
