# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(p_rgh)
0.00019049      	2.59464789e+06
0.000190991     	2.57981733e+06
0.000191491     	2.56606191e+06
0.000192023     	2.53967178e+06
0.000192555     	2.51903084e+06
0.000193087     	2.49827775e+06
0.000193618     	2.46629885e+06
0.00019415      	2.43446373e+06
0.000194682     	2.40119605e+06
0.000195214     	2.36308621e+06
0.000195746     	2.33016172e+06
0.000196277     	2.27995690e+06
0.000196809     	2.23673623e+06
0.000197341     	2.19418946e+06
0.000197873     	2.15089430e+06
0.000198405     	2.10762366e+06
0.000198936     	2.06819860e+06
0.000199468     	2.02863460e+06
0.0002          	1.98687521e+06
0.000200501     	1.94060206e+06
0.000200999     	1.89525378e+06
0.000201494     	1.84838188e+06
0.000201986     	1.79884045e+06
0.000202478     	1.74911572e+06
0.000202967     	1.70544077e+06
0.000203454     	1.66766921e+06
0.000203941     	1.61965950e+06
0.000204426     	1.57709404e+06
0.00020491      	1.52849784e+06
0.000205394     	1.48621909e+06
0.000205878     	1.43596131e+06
0.000206361     	1.39236137e+06
0.000206845     	1.34225239e+06
0.000207329     	1.29685207e+06
0.000207815     	1.24678510e+06
0.0002083       	1.19684175e+06
0.000208787     	1.14841629e+06
0.000209274     	1.09994854e+06
0.000209765     	1.05280697e+06
0.000210256     	1.00417905e+06
0.00021075      	9.55466293e+05
0.000211247     	9.06720198e+05
0.000211747     	8.59402335e+05
0.000212249     	8.08661555e+05
0.000212755     	7.60301450e+05
0.000213263     	7.09972001e+05
0.000213776     	6.57185913e+05
0.000214292     	6.07993185e+05
0.000214812     	5.57621828e+05
0.000215336     	5.07669187e+05
0.000215862     	4.60827135e+05
0.000216391     	4.14884522e+05
0.000216925     	3.69600374e+05
0.000217463     	3.24799396e+05
0.000218006     	2.79489378e+05
0.000218556     	2.34231189e+05
0.000219106     	1.87405837e+05
0.000219649     	1.40278290e+05
0.000220188     	9.55129818e+04
0.000220721     	5.28529022e+04
0.00022125      	1.16711661e+04
0.000221774     	-2.81538111e+04
0.000222294     	-6.50698989e+04
0.00022281      	-1.00456301e+05
0.000223322     	-1.34746704e+05
0.000223832     	-1.71904129e+05
0.000224338     	-2.13011482e+05
0.000224843     	-2.36901625e+05
0.000225345     	-2.71041498e+05
0.000225845     	-3.08393676e+05
0.000226344     	-3.43710880e+05
0.000226842     	-3.77540973e+05
0.000227339     	-4.07682673e+05
0.000227835     	-4.33391626e+05
0.000228331     	-4.56669571e+05
0.000228826     	-4.80641193e+05
0.000229321     	-5.02698335e+05
0.000229816     	-5.22971925e+05
0.000230312     	-5.39605602e+05
0.000230808     	-5.55247401e+05
0.000231306     	-5.83171618e+05
0.000231805     	-5.99861577e+05
0.000232305     	-6.14656065e+05
0.000232807     	-6.27038686e+05
0.000233312     	-6.39421644e+05
0.000233819     	-6.51410375e+05
0.000234329     	-6.61886053e+05
0.000234842     	-6.68959581e+05
0.000235358     	-6.78162899e+05
0.000235879     	-6.87346603e+05
0.000236403     	-6.95508648e+05
0.000236933     	-6.94020604e+05
0.000237467     	-6.97590340e+05
0.000238007     	-7.00578779e+05
0.000238553     	-7.02828424e+05
0.000239104     	-7.03105349e+05
0.000239662     	-7.02018101e+05
0.000240229     	-6.99571910e+05
0.000240804     	-6.95955612e+05
0.000241387     	-6.90906059e+05
0.000241964     	-6.86436671e+05
0.000242534     	-6.80383677e+05
0.000243099     	-6.73785825e+05
0.000243659     	-6.65142081e+05
0.000244213     	-6.55716298e+05
0.000244766     	-6.44389820e+05
0.000245314     	-6.33350347e+05
0.000245861     	-6.21417025e+05
0.000246404     	-6.08803746e+05
0.000246944     	-5.92145503e+05
0.000247483     	-5.81450349e+05
0.000248022     	-5.62817809e+05
0.000248559     	-5.38525377e+05
0.000249094     	-5.18103679e+05
0.00024963      	-4.94445700e+05
0.000250165     	-4.65998258e+05
0.0002507       	-4.34278326e+05
0.000251235     	-4.00059649e+05
0.00025177      	-3.61854314e+05
0.000252307     	-3.23543342e+05
0.000252844     	-2.87579071e+05
0.000253383     	-2.55729945e+05
0.000253924     	-2.29010439e+05
0.000254465     	-2.01689385e+05
0.000255008     	-1.76301415e+05
0.000255553     	-1.47739037e+05
0.000256098     	-1.16735223e+05
0.000256646     	-8.43167047e+04
0.000257195     	-5.14516904e+04
0.000257748     	-1.81125706e+04
0.000258304     	1.62661817e+04
0.000258862     	5.06178610e+04
0.000259424     	8.45271440e+04
0.000259991     	1.19162458e+05
0.000260565     	1.54412220e+05
0.000261143     	1.89966436e+05
0.000261729     	2.25415638e+05
0.000262323     	2.61385002e+05
0.000262924     	2.97982713e+05
0.00026353      	3.34741776e+05
0.000264132     	3.73536174e+05
0.000264728     	4.10751252e+05
0.000265318     	4.47953522e+05
0.000265904     	4.84879710e+05
0.000266484     	5.20561723e+05
0.000267062     	5.55573690e+05
0.000267635     	5.89974565e+05
0.000268206     	6.24118547e+05
0.000268774     	6.57062565e+05
0.00026934      	6.89679422e+05
0.000269903     	7.21923969e+05
0.000270466     	7.53277931e+05
0.000271027     	7.84872315e+05
0.000271588     	8.15583501e+05
0.000272148     	8.45443191e+05
0.000272709     	8.75726995e+05
0.00027327      	9.05606272e+05
0.000273831     	9.35022361e+05
0.000274394     	9.63929980e+05
0.00027496      	9.92676127e+05
0.000275525     	1.02184763e+06
0.000276094     	1.04986135e+06
0.000276667     	1.07684854e+06
0.000277244     	1.10451844e+06
0.000277823     	1.13201907e+06
0.000278407     	1.15849960e+06
0.000278998     	1.18497515e+06
0.000279594     	1.21127977e+06
0.000280196     	1.23759331e+06
0.000280804     	1.26429472e+06
0.000281418     	1.29061104e+06
0.000282042     	1.31631547e+06
0.000282677     	1.34035029e+06
0.000283318     	1.36492376e+06
0.000283959     	1.38952638e+06
0.000284589     	1.41599821e+06
0.000285213     	1.44099698e+06
0.00028583      	1.46595342e+06
0.000286441     	1.48964920e+06
0.000287048     	1.49850943e+06
0.000287649     	1.51037777e+06
0.000288247     	1.52162414e+06
0.000288841     	1.53252213e+06
0.000289432     	1.54285135e+06
0.00029002      	1.55254172e+06
0.000290609     	1.56054421e+06
0.000291194     	1.56854715e+06
0.000291782     	1.57425857e+06
0.00029237      	1.57980531e+06
0.000292958     	1.58460428e+06
0.000293549     	1.58781742e+06
0.000294144     	1.59026839e+06
0.000294739     	1.59249075e+06
0.000295337     	1.59340767e+06
0.000295938     	1.59423279e+06
0.000296543     	1.59569256e+06
0.000297156     	1.59687986e+06
0.000297771     	1.59808753e+06
0.000298395     	1.59514956e+06
0.000299026     	1.58898593e+06
0.000299665     	1.58187901e+06
0.000300312     	1.57446050e+06
0.000300968     	1.56612254e+06
0.000301633     	1.55718413e+06
0.000302302     	1.54826715e+06
0.000302962     	1.54066342e+06
0.000303618     	1.53606516e+06
0.000304264     	1.51872183e+06
0.000304907     	1.50320889e+06
0.000305545     	1.49495903e+06
0.000306179     	1.48189780e+06
0.000306809     	1.46794043e+06
0.000307434     	1.45385018e+06
0.000308056     	1.43921189e+06
0.000308677     	1.42436941e+06
0.000309298     	1.40847750e+06
0.000309915     	1.39283828e+06
0.000310532     	1.37642137e+06
0.000311149     	1.35963376e+06
0.000311766     	1.34182025e+06
0.000312383     	1.32329756e+06
0.000313004     	1.30326607e+06
0.00031363      	1.28184439e+06
0.000314256     	1.25981238e+06
0.000314887     	1.23631503e+06
0.000315522     	1.21193345e+06
0.000316162     	1.18659141e+06
0.000316807     	1.16050985e+06
0.000317457     	1.13363686e+06
0.000318112     	1.10613465e+06
0.000318778     	1.07776867e+06
0.000319454     	1.04865383e+06
0.000320137     	1.01936778e+06
0.000320831     	9.89570984e+05
0.000321514     	9.59927564e+05
0.000322191     	9.30505155e+05
0.000322856     	9.01516570e+05
0.000323515     	8.73003632e+05
0.000324169     	8.44974738e+05
0.000324817     	8.17420099e+05
0.000325459     	7.90414812e+05
0.000326097     	7.64163749e+05
0.000326734     	7.38740267e+05
0.000327365     	7.13591588e+05
0.000327991     	6.89209076e+05
0.000328618     	6.66172897e+05
0.000329244     	6.43759327e+05
0.00032987      	6.21052077e+05
0.000330496     	5.98901059e+05
0.000331122     	5.77094884e+05
0.000331748     	5.56554632e+05
0.000332375     	5.36981175e+05
0.000333007     	5.16112022e+05
0.000333639     	4.95738065e+05
0.000334277     	4.76597567e+05
0.000334915     	4.57805240e+05
0.000335559     	4.40241201e+05
0.000336204     	4.22892981e+05
0.000336855     	4.06737556e+05
0.000337512     	3.91149300e+05
0.000338177     	3.76044097e+05
0.000338849     	3.58331905e+05
0.000339528     	3.48389498e+05
0.000340216     	3.35264432e+05
0.000340911     	3.22918252e+05
0.000341614     	3.10670349e+05
0.000342309     	2.97895708e+05
0.000342996     	2.86598897e+05
0.000343675     	2.76501352e+05
0.000344345     	2.67763804e+05
0.000345008     	2.59882235e+05
0.000345663     	2.53743739e+05
0.000346317     	2.48473634e+05
0.000346964     	2.40753836e+05
0.000347611     	2.36826292e+05
0.00034825      	2.33199418e+05
0.000348889     	2.31216440e+05
0.000349527     	2.30019675e+05
0.000350166     	2.29620639e+05
0.000350805     	2.29930996e+05
0.000351444     	2.30998370e+05
0.000352083     	2.32439150e+05
0.000352722     	2.35427460e+05
0.000353361     	2.38945847e+05
0.000354009     	2.43852680e+05
0.000354656     	2.48713189e+05
0.000355304     	2.54153041e+05
0.000355961     	2.61143978e+05
0.000356629     	2.68604881e+05
0.000357296     	2.75956840e+05
0.000357974     	2.84725006e+05
0.000358652     	2.95268364e+05
0.000359341     	3.03415548e+05
0.00036003      	3.13372472e+05
0.000360731     	3.24639809e+05
0.000361445     	3.36703981e+05
0.000362159     	3.48652688e+05
0.00036286      	3.60224261e+05
0.000363548     	3.72108774e+05
0.000364223     	3.84400215e+05
